label_number,label_full_name,mean w-score,perc_suprathreshold
151,17Networks_RH_SalVentAttnB_IPL_1,0.424314658145454,5
152,17Networks_RH_SalVentAttnB_PFClv_1,0.964852088159937,15
153,17Networks_RH_SalVentAttnB_PFCl_1,0.711864698251459,10
154,17Networks_RH_SalVentAttnB_Ins_1,0.66029326135079,15
155,17Networks_RH_SalVentAttnB_Ins_2,0.486073538613397,5
156,17Networks_RH_SalVentAttnB_PFCmp_1,0.492048803339031,0
157,17Networks_RH_LimbicB_OFC_1,1.00970592393569,20
158,17Networks_RH_LimbicB_OFC_2,0.968370793743877,25
159,17Networks_RH_LimbicB_OFC_3,0.598705512768934,15
160,17Networks_RH_LimbicB_OFC_4,0.558212463265637,10
161,17Networks_RH_LimbicA_TempPole_1,0.594751457826393,15
162,17Networks_RH_LimbicA_TempPole_2,0.891578056988676,25
163,17Networks_RH_LimbicA_TempPole_3,0.112595676958022,10
164,17Networks_RH_LimbicA_TempPole_4,0.456237826950847,10
165,17Networks_RH_ContA_IPS_1,0.756663115940098,15
166,17Networks_RH_ContA_IPS_2,0.401053145819829,0
167,17Networks_RH_ContA_PFCd_1,0.485729872746246,10
168,17Networks_RH_ContA_PFCl_1,0.672154786860803,5
169,17Networks_RH_ContA_PFCl_2,0.878589528402741,15
170,17Networks_RH_ContA_Cingm_1,-0.156631521706511,5
171,17Networks_RH_ContB_Temp_1,0.799345311957586,15
172,17Networks_RH_ContB_Temp_2,0.895633141537149,10
173,17Networks_RH_ContB_IPL_1,0.559719278315854,5
174,17Networks_RH_ContB_IPL_2,0.236056955227791,0
175,17Networks_RH_ContB_PFCld_1,0.652294328514011,0
176,17Networks_RH_ContB_PFCld_2,0.427692199808076,10
177,17Networks_RH_ContB_PFClv_1,1.03304103742019,25
178,17Networks_RH_ContB_PFClv_2,0.855101728776221,15
179,17Networks_RH_ContB_PFCmp_1,0.384464748790468,5
180,17Networks_RH_ContB_PFCld_3,0.740365576460236,15
181,17Networks_RH_ContC_pCun_1,0.829149266216893,15
